Match_id,Team,Over_num,Commentary,batsman,score
4281444,RCB 1st Inns,15.0,"Rashid Khan to Watson, SIX, Rashid finishes with a long hop. To be fair, it's not abysmally short, but Watson is so good on the back foot. Rocks back quickly and hammers the pull over long-on",Rashid Khan to Watson,SIX
4281444,RCB 1st Inns,15.2,"Cutting to Binny, SIX, slower ball again but this time Binny hacks it over deep mid-wicket. It was slightly closer to off-stump and was given a fair tonk",Cutting to Binny,SIX
4281444,RCB 1st Inns,18.4,"Bhuvneshwar to Tymal Mills, SIX, full and wide, Mills has a proper dash at it and he's flayed it away over the point boundary. Magnificent hit. Bhuvneshwar won't enjoy that",Bhuvneshwar to Tymal Mills,SIX
4281444,RCB 1st Inns,19.3,"Cutting to Aniket Choudhary, SIX, first ball Choudhary faces in the IPL, he smashes it over long leg. A short ball from Cutting, Choudhary swings into an instinctive pull and gets enough on it",Cutting to Aniket Choudhary,SIX
4281444,RCB 1st Inns,3.0,"Nehra to Gayle, SIX, that ball hung in the night sky for eternity. Never looked like coming down. For what it's worth Gayle gets the maximum result. Length delivery right in the swinging zone and Gayle did not hold back, went full-monty and heaved it over deep mid-wicket. Six number one for Gayle in IPL 10",Nehra to Gayle,SIX
4281444,RCB 1st Inns,3.2,"Bhuvneshwar to Gayle, SIX, Gayle is in the mood. Mind you, he's not been in the best of forms, but IPL is his cup of tea. Bhuvneshwar dishes a full length delivery and hopes to get away with it, Gayle doesn't allow him to, carves it over long-on for his second maximum",Bhuvneshwar to Gayle,SIX
4281444,RCB 1st Inns,6.2,"Deepak Hooda to Gayle, SIX, a gift from Hooda and Gayle thumps it over the rope. A full toss outside off, Gayle takes a step out and slots it straight back over the bowler's head. Went miles back into the crowd",Deepak Hooda to Gayle,SIX
4281444,RCB 1st Inns,8.5,"Cutting to Kedar Jadhav, SIX, that looked like a half-hearted shot from Jadhav and it has travelled the distance. Picked the back of a length delivery and pulled it to the vacant deep mid-wicket region, just cleared the rope",Cutting to Kedar Jadhav,SIX
4281444,SRH 1st Inns,1.3,"Aniket Choudhary to Warner, SIX, .. and Warner makes the most of the free-hit. Another pretty poor ball from Choudhary, short and just outside off, Warner rocks back and pulls it high and over mid-wicket, went sailing into the stands for the first six of IPL 10",Aniket Choudhary to Warner,SIX
4281444,SRH 1st Inns,12.2,"Aniket Choudhary to Yuvraj, SIX, whoa. This is getting back in the 2007 zone. Choudhary without a clue as to where to bowl goes full and wide. The mind-reader gets the front leg out and unleashes a full bat swing showing the maker's name in tonking it right on the extra cover ropes",Aniket Choudhary to Yuvraj,SIX
4281444,SRH 1st Inns,14.3,"Aravind to Yuvraj, SIX, into the first tier. And a standing admire from Yuvraj. Aravind serves a pie with the short sitter and heaved away. So very typical. Equally friendly bowling here as well",Aravind to Yuvraj,SIX
4281444,SRH 1st Inns,14.5,"Aravind to Henriques, SIX, now Henriques joins the act. Wants to ive his partner a run for his money. A run for some crowd catchers. Keeps banging it in short with the pitch sucking away all the momentum. Another mow across to give the crowd some work. Brings up his fifty. In some style",Aravind to Henriques,SIX
4281444,SRH 1st Inns,17.1,"Aniket Choudhary to Deepak Hooda, SIX, the march to the double ton gets another gear. And some help from Chahal in tipping it over the fence. Hooda opens up and uses his entire height to good effect in his tall pull. Mid-wicket takes another one in its kitty",Aniket Choudhary to Deepak Hooda,SIX
4281444,SRH 1st Inns,18.3,"Tymal Mills to Yuvraj, SIX, the murder continues. Mass murder. Another spirit buries itself inside this pitch. Overcompensates going short, going quick but the response is quicker. Is brutal too. Back to his high backlifted pulls. Gravity too cannot pull it down",Tymal Mills to Yuvraj,SIX
4281444,SRH 1st Inns,19.3,"Watson to Cutting, SIX, the yorkers too cannot stop the bleeding. Cutting rocks way inside, crouches, gets underneath the supposed yorker and carries on from the finals a year ago in tonking the drive",Watson to Cutting,SIX
4281444,SRH 1st Inns,20.0,"Watson to Cutting, SIX, a dramatic photo finish. Watson tries another short one but this time Cutting ain't surprised. Stands up, uses his entire height to good effect and smokes it away. Admiring it as he does so. As flat as the bat motion could get",Watson to Cutting,SIX
4281444,SRH 1st Inns,7.4,"Head to Henriques, SIX, massive, Henriques shimmies down the track, makes room as he did so and goes high and over long-on, went a long way into the stands. Watches in admiration as the ball kept going and going",Head to Henriques,SIX
7898444,MI 1st Inns,12.1,"Stokes to Nitish Rana, SIX, Stokes would be proud of that shot. Banged in halfway down and the line was around off, Rana is quick to transfer his weight onto the back foot and nails the pull over deep square leg. Third six that Stokes has conceded",Stokes to Nitish Rana,SIX
7898444,MI 1st Inns,16.5,"Tahir to Pollard, SIX, Tahir shouted ""catch it"" and there was no way anyone could have caught that. The South African goes a tad fuller in his length and that enables Pollard to get underneath it, slams it flat and over long-off for a maximum",Tahir to Pollard,SIX
7898444,MI 1st Inns,19.0,"Stokes to Southee, SIX, Southee nails this. He should have tried this shot on the previous ball. Once again gets his front leg out of the way to give him a free swing, Stokes makes his job easier by bowling a length delivery, tonked straight back over Stokes for a maximum",Stokes to Southee,SIX
7898444,MI 1st Inns,19.1,"Dinda to Hardik Pandya, SIX, consecutive sixes for MI. Dinda missed his yorker by a few inches and is launched into the crowd. Low full toss outside off, Pandya keeps a firm base and carves it over point. Went a long way back into the stands",Dinda to Hardik Pandya,SIX
7898444,MI 1st Inns,19.2,"Dinda to Hardik Pandya, SIX, Dinda attains normal services. Three sixes in a row. Pandya getting into the thick of things. Length delivery and Pandya dismisses it over long-off. Just stood there and dispatched it with disdain",Dinda to Hardik Pandya,SIX
7898444,MI 1st Inns,19.3,"Dinda to Hardik Pandya, SIX, make it four in a row. Dinda and death overs are not the best of mates. He goes full and misses the yorker by a couple of inches, Pandya had enough to get under that and smack it over long-on",Dinda to Hardik Pandya,SIX
7898444,MI 1st Inns,19.5,"Dinda to Hardik Pandya, SIX, Smith has a worried look as Pandya sends another one crashing over the rope. Switched to back of a length and the result remained the same, Pandya went back and nailed it over wide long-on. Pinged the ad hoarding on the full",Dinda to Hardik Pandya,SIX
