Match_id,Team,Over_num,Commentary,batsman,score
7898444,RPS 1st Inns,14.3,"Southee to Smith, 2 runs, fifty for Smith. This guy, huh, unbelievable. He comes off a 499-run series in Tests and now belts a half-century in his first IPL X innings. Clips a short of length off-cutter from outside off and rushes back for two",Southee to Smith,TWO
2373690,GL 1st Inns,13.3,"Chawla to Raina, 2 runs, in no man's land. The googly and Raina takes it on without reading, he charges down and goes across the line, the leading edge balloons up and drops in front of the incoming long-off fielder",Chawla to Raina,TWO
2373690,GL 1st Inns,15.4,"Kuldeep Yadav to Raina, 2 runs, comedy of errors. First Raina gets away with yet another leading edge, goes on the bounce to long-on. He was never wanted the second and Karthik was almost near the bowler's end before Raina decided to go, Karthik makes it in and Kuldeep for some unknown reason doesn't throw it to Uthappa and Raina also survives. He's living a charmed life",Kuldeep Yadav to Raina,TWO
2373690,GL 1st Inns,5.5,"Woakes to Raina, 2 runs, that will go down as a chance, but Kuldeep did very well to get to the ball, got both hands and lost control as he fell down. Would have been a stunner had he held on. This was short and on the stumps, Raina was making room for the pull, gets slightly cramped on the shot, hits it high and over mid-on. Kuldeep ran a long way back, stretched as he got both hands to the ball - but can't complete the finishing act",Woakes to Raina,TWO
2373690,KKR 1st Inns,7.4,"Shadab Jakati to Gambhir, 2 runs, short ball on middle, Gambhir jumps on the back foot and lifts the pull over mid-wicket. 4th fastest team 100 in the history of IPL, gee!",Shadab Jakati to Gambhir,TWO
7088566,RCB 1st Inns,13.4,"Brathwaite to Kedar Jadhav, 2 runs, fifty for Kedar, this has been a superb innings, short and just outside off, he backed away and cut it to the left of point. Billings put in the dive, made the stop and fired in a throw at the striker's end, concedes another run",Brathwaite to Kedar Jadhav,TWO
9873957,MI 1st Inns,19.4,"Boult to Hardik Pandya, 2 runs, this is very, very ordinary from KKR in the field. The substitute Rishi Dhawan is the culprit this time. He drops a skier. Another brilliant short ball, rushes Hardik on the pull and takes a thick top-edge to deep square leg. Dhawan looks nervous under the ball, slips a bit and then has to dive to his left after the misjudgement. Makes a hash of it",Boult to Hardik Pandya,TWO
9873957,MI 1st Inns,6.1,"Narine to Buttler, 2 runs, the new opening combo for MI has registered a 50-run stand in only their second game together. Buttler works it away with the spin wide of long-on and the second was on",Narine to Buttler,TWO
8517839,RPS 1st Inns,15.3,"Basil Thampi to Ankit Sharma, 2 runs, back of a length slower ball on middle and leg, Ankit makes room and chops it into the pitch. He's ambling across for a single as Thampi appeared to be lazy in getting to the ball, but that's only a smokescreen. Thampi quickly pounces, turns and throws and would have caught Ankit short had he hit the stumps direct. Instead, concedes an extra run",Basil Thampi to Ankit Sharma,TWO
8517839,RPS 1st Inns,20.0,"Andrew Tye to Rahul Chahar, 2 runs, that could have, and should have, been four in the over for Tye. Another knuckle ball, Chahar is early into the slog and miscues it to Jadeja of all people at deep mid-wicket. He puts down a simple enough chance",Andrew Tye to Rahul Chahar,TWO
8351592,KXIP 1st Inns,14.1,"Zaheer to Axar, 2 runs, Zaheer only had to gather that and Mohit was gone. But the throw landed very close to him making it difficult. Knuckle ball outside off, Patel punches it through backward point and calls his partner back for two despite the fielder swooping in quickly",Zaheer to Axar,TWO
2969824,DC 1st Inns,4.4,"Kuldeep Yadav to Samson, 2 runs, to long on, 50-run stand in the fifth over. A gentle nudge into the leg-side, followed by a quick double",Kuldeep Yadav to Samson,TWO
9296666,KXIP 1st Inns,14.0,"Henriques to Vohra, 2 runs, more than a dropped catch, that's two runs saved. A fine stretch from Nabi at short third man to get fingertips to the ball. Vohra wanted to ramp this back of length delivery above him, and was so nearly successful",Henriques to Vohra,TWO
9296666,SRH 1st Inns,10.4,"Cariappa to Warner, 2 runs, a calm looking pat through mid-wicket. And pulls his partner back for the second. Makes the dive as well as Maxwell charges in from the mid-wicket fence and misses with the direct hit. Had he hit, Ojha would've been gone",Cariappa to Warner,TWO
5231444,GL 1st Inns,18.0,"Head to Andrew Tye, 2 runs, dropped at long-on. Miscues it high and over but it's been dropped there. Fairly simple chance after Kohli runs across and gets the ball on his stuck out palm as well. Only for it to pop out",Head to Andrew Tye,TWO
