Unnamed: 0,Match_id,Team,Over_num,Commentary,batsman,score,Commentary_new,Team_new,P2,P1,P1_FN,P1_LN,P2_FN,P2_LN,P1_FN_count,P1_LN_count,P2_FN_count,P2_LN_count
0,4281444,RCB 1st Inns,0.5,"Nehra to Mandeep, FOUR, first boundary for Mandeep and RCB. Full and on the pads, needed to be put away and Mandeep did just that, picked it up and dispatched it over mid-wicket, couple of bounces and into the fence",Nehra to Mandeep,FOUR,"{{BOWLER}} to {{BATSMAN}}, FOUR, first boundary for {{BATSMAN}} and {{TEAM}}. Full and on the pads, needed to be put away and {{BATSMAN}} did just that, picked it up and dispatched it over mid-wicket, couple of bounces and into the fence",RCB,Nehra,Mandeep,Mandeep,,Nehra,,7,,5,
1,4281444,RCB 1st Inns,1.0,"Nehra to Mandeep, FOUR, back-to-back boundaries to end the first over. Again, Nehra is a tad short in his length, Mandeep had the width to cut and he didn't try to hit it hard, just placed it behind point and Bhuvi at third man gave up the chase pretty quickly",Nehra to Mandeep,FOUR,"{{BOWLER}} to {{BATSMAN}}, FOUR, back-to-back boundaries to end the first over. Again, {{BOWLER}} is a tad short in his length, {{BATSMAN}} had the width to cut and he didn't try to hit it hard, just placed it behind point and Bhuvi at third man gave up the chase pretty quickly",RCB,Nehra,Mandeep,Mandeep,,Nehra,,7,,5,
2,4281444,RCB 1st Inns,10.0,"Henriques to Kedar Jadhav, FOUR, hit straight back at Henriques and he was late to get his hand up. Once more the off-cutter which almost fooled Jadhav, who shimmied down and checked his drive, middled it alright to beat the mid-off fielder",Henriques to Kedar Jadhav,FOUR,"{{BOWLER}} to {{BATSMAN}}, FOUR, hit straight back at {{BOWLER}} and he was late to get his hand up. Once more the off-cutter which almost fooled {{BATSMAN}}, who shimmied down and checked his drive, middled it alright to beat the mid-off fielder",RCB,Henriques,Kedar Jadhav,Kedar,Jadhav,Henriques,,5,6.0,9,
3,4281444,RCB 1st Inns,10.4,"Nehra to Kedar Jadhav, FOUR, another full toss, it's Jadhav this time and he picks his spot into the deep mid-wicket fence. Not great bowling from Nehra. He's missing the yorker by quite a bit",Nehra to Kedar Jadhav,FOUR,"{{BOWLER}} to {{BATSMAN}}, FOUR, another full toss, it's {{BATSMAN}} this time and he picks his spot into the deep mid-wicket fence. Not great bowling from {{BOWLER}}. He's missing the yorker by quite a bit",RCB,Nehra,Kedar Jadhav,Kedar,Jadhav,Nehra,,5,6.0,5,
4,4281444,RCB 1st Inns,10.5,"Nehra to Kedar Jadhav, FOUR, four more. Jadhav starting to really find his timing now and he's looking dangerous. This is smart batting rather than just throwing his bat at everything. He knows that fine leg is up and so he waits for the back of a length delivery to come to him before pulling it over the fielder. Nehra under pressure",Nehra to Kedar Jadhav,FOUR,"{{BOWLER}} to {{BATSMAN}}, FOUR, four more. {{BATSMAN}} starting to really find his timing now and he's looking dangerous. This is smart batting rather than just throwing his bat at everything. He knows that fine leg is up and so he waits for the back of a length delivery to come to him before pulling it over the fielder. {{BOWLER}} under pressure",RCB,Nehra,Kedar Jadhav,Kedar,Jadhav,Nehra,,5,6.0,5,
6,4281444,RCB 1st Inns,12.4,"Rashid Khan to Head, FOUR, goes down and smashes the full toss over the deep mid-wicket ropes. Some nerves maybe from the Afghanistan leggie and Head pounced all over them with a mighty slog-sweep",Rashid Khan to Head,FOUR,"{{BOWLER}} to {{BATSMAN}}, FOUR, goes down and smashes the full toss over the deep mid-wicket ropes. Some nerves maybe from the Afghanistan leggie and {{BATSMAN}} pounced all over them with a mighty slog-sweep",RCB,Rashid Khan,Head,Head,,Rashid,Khan,4,,6,4.0
11,4281444,RCB 1st Inns,15.5,"Cutting to Watson, FOUR, plants his foot down and absolutely drills the ball wide of a diving extra-cover. Overpitched from Cutting, Watson blasts him away",Cutting to Watson,FOUR,"{{BOWLER}} to {{BATSMAN}}, FOUR, plants his foot down and absolutely drills the ball wide of a diving extra-cover. Overpitched from {{BOWLER}}, {{BATSMAN}} blasts him away",RCB,Cutting,Watson,Watson,,Cutting,,6,,7,
20,4281444,RCB 1st Inns,2.2,"Nehra to Gayle, FOUR, Nehra goes back to the shorter length, Gayle seems a tad comfortable with that, hops on one leg and uses Nehra's pace to guide it past the diving short fine leg fielder",Nehra to Gayle,FOUR,"{{BOWLER}} to {{BATSMAN}}, FOUR, {{BOWLER}} goes back to the shorter length, {{BATSMAN}} seems a tad comfortable with that, hops on one leg and uses {{BOWLER}}'s pace to guide it past the diving short fine leg fielder",RCB,Nehra,Gayle,Gayle,,Nehra,,5,,5,
21,4281444,RCB 1st Inns,2.4,"Nehra to Mandeep, FOUR, might have been the slower one and Mandeep picked the bones out of that one. He cleared his front leg to give him more options and then slots the loft over mid-on, one bounce and over the rope",Nehra to Mandeep,FOUR,"{{BOWLER}} to {{BATSMAN}}, FOUR, might have been the slower one and {{BATSMAN}} picked the bones out of that one. He cleared his front leg to give him more options and then slots the loft over mid-on, one bounce and over the rope",RCB,Nehra,Mandeep,Mandeep,,Nehra,,7,,5,
24,4281444,RCB 1st Inns,4.0,"Bhuvneshwar to Mandeep, FOUR, Mandeep is playing the perfect foil to Gayle. Warner already worried. Full on middle and leg, whipped through mid-wicket and mid-on. Hit uppishly but placed it expertly in the gap",Bhuvneshwar to Mandeep,FOUR,"{{BOWLER}} to {{BATSMAN}}, FOUR, {{BATSMAN}} is playing the perfect foil to Gayle. Warner already worried. Full on middle and leg, whipped through mid-wicket and mid-on. Hit uppishly but placed it expertly in the gap",RCB,Bhuvneshwar,Mandeep,Mandeep,,Bhuvneshwar,,7,,11,
