Unnamed: 0,Match_id,Team,Over_num,Commentary,batsman,score,Commentary_new,Team_new,P2,P1,P1_FN,P1_LN,P2_FN,P2_LN,P1_FN_count,P1_LN_count,P2_FN_count,P2_LN_count
12,4281444,RCB 1st Inns,16.2,"Bhuvneshwar to Binny, 1 run, dropped! Naman Ojha, with the gloves on, puts one down. The ball went high up and was swirling awkwardly all the way through. But at this level, it should be taken. Binny was completely duped by the slower leg-cutter. Such good bowling from Bhuvi to keep it wide of off and out of reach",Bhuvneshwar to Binny,ONE,"{{BOWLER}} to {{BATSMAN}}, 1 run, dropped! Naman Ojha, with the gloves on, puts one down. The ball went high up and was swirling awkwardly all the way through. But at this level, it should be taken. {{BATSMAN}} was completely duped by the slower leg-cutter. Such good bowling from Bhuvi to keep it wide of off and out of reach",RCB,Bhuvneshwar,Binny,Binny,,Bhuvneshwar,,5,,11,
44,4281444,SRH 1st Inns,13.0,"Aniket Choudhary to Yuvraj, 1 run, oh Aravind. You really do not grant a life. Certainly not to this guy. Another compulsive pull here from Yuvraj but with the ball gaining in height, only manages the top-edge. Right into the hands of fine leg, who slides and makes an absolute mess",Aniket Choudhary to Yuvraj,ONE,"{{BOWLER}} to {{BATSMAN}}, 1 run, oh Aravind. You really do not grant a life. Certainly not to this guy. Another compulsive pull here from {{BATSMAN}} but with the ball gaining in height, only manages the top-edge. Right into the hands of fine leg, who slides and makes an absolute mess",SRH,Aniket Choudhary,Yuvraj,Yuvraj,,Aniket,Choudhary,6,,6,9.0
50,4281444,SRH 1st Inns,15.5,"Chahal to Yuvraj, 1 run, is that a bird? Is that a plane? Oh it is Mandeep Singh on his flying ways. Yuvraj goes through with yet another ones of his delightful airy drives. Is in the process of admiration just as Mandy runs across at the long-off fence, leaps and pulls it back into the field of play. Almost plucked it out while landing down too. Oof",Chahal to Yuvraj,ONE,"{{BOWLER}} to {{BATSMAN}}, 1 run, is that a bird? Is that a plane? Oh it is Mandeep Singh on his flying ways. {{BATSMAN}} goes through with yet another ones of his delightful airy drives. Is in the process of admiration just as Mandy runs across at the long-off fence, leaps and pulls it back into the field of play. Almost plucked it out while landing down too. Oof",SRH,Chahal,Yuvraj,Yuvraj,,Chahal,,6,,6,
60,4281444,SRH 1st Inns,3.5,"Chahal to Henriques, 1 run, a direct hit at the bowler's end and Henriques was struggling. He was coming back for the second run, Dhawan didn't respond one bit. Aravind was the man with the throw and he sent it to the keeper. Kedar Jadhav still had time to effect the run-out, but his shy is way off-target. Henriques scrambles home with a dive. Coming to the ball, it was flat and wide of off, punched to the left of long-off",Chahal to Henriques,ONE,"{{BOWLER}} to {{BATSMAN}}, 1 run, a direct hit at the bowler's end and {{BATSMAN}} was struggling. He was coming back for the second run, Dhawan didn't respond one bit. Aravind was the man with the throw and he sent it to the keeper. Kedar Jadhav still had time to effect the run-out, but his shy is way off-target. {{BATSMAN}} scrambles home with a dive. Coming to the ball, it was flat and wide of off, punched to the left of long-off",SRH,Chahal,Henriques,Henriques,,Chahal,,9,,6,
90,7898444,MI 1st Inns,3.0,"Dinda to Parthiv Patel, 1 run, dropped by Bhatia. A straightforward chance. Parthiv Patel doesn't get control of the cut and he slices it straight to third man, Bhatia didn't even need to move an inch. It was going arrow straight towards his chest. Straight in and straight out. Oops!",Dinda to Parthiv Patel,ONE,"{{BOWLER}} to {{BATSMAN}}, 1 run, dropped by Bhatia. A straightforward chance. {{BATSMAN}} doesn't get control of the cut and he slices it straight to third man, Bhatia didn't even need to move an inch. It was going arrow straight towards his chest. Straight in and straight out. Oops!",MI,Dinda,Parthiv Patel,Parthiv,Patel,Dinda,,7,5.0,5,
99,7898444,MI 1st Inns,7.1,"Stokes to Rayudu, 1 run, direct hit and Rayudu was gone! Smith was the fielder, curses himself after he missed the target. A casual knock down the wicket from Rayudu, goes straight to mid-off, Smithy had ample time to target all three at the non-striker's end. A big miss",Stokes to Rayudu,ONE,"{{BOWLER}} to {{BATSMAN}}, 1 run, direct hit and {{BATSMAN}} was gone! Smith was the fielder, curses himself after he missed the target. A casual knock down the wicket from {{BATSMAN}}, goes straight to mid-off, Smithy had ample time to target all three at the non-striker's end. A big miss",MI,Stokes,Rayudu,Rayudu,,Stokes,,6,,6,
109,7898444,RPS 1st Inns,13.0,"McClenaghan to Smith, 1 run, dropped! It's Nitish Rana in the deep. The ball flew towards his left and he was on the move but he got there with both hands. Exquisite timing on the short-arm pull from Smith. It's precisely that which gets him in trouble. Rana provides the reprieve. The ball actually hit him flush on the shoulders. That's quite an error. Huge moment",McClenaghan to Smith,ONE,"{{BOWLER}} to {{BATSMAN}}, 1 run, dropped! It's Nitish Rana in the deep. The ball flew towards his left and he was on the move but he got there with both hands. Exquisite timing on the short-arm pull from {{BATSMAN}}. It's precisely that which gets him in trouble. Rana provides the reprieve. The ball actually hit him flush on the shoulders. That's quite an error. Huge moment",RPS,McClenaghan,Smith,Smith,,McClenaghan,,5,,11,
119,7898444,RPS 1st Inns,19.0,"Bumrah to Dhoni, 1 run, dropped! An absolute sitter put down by Southee. Oh boy. They've already dropped Smith earlier. That hasn't quite gone well. Now another one. Dhoni miscues the full toss to deep mid-wicket where Southee doesn't have to move. Dear me",Bumrah to Dhoni,ONE,"{{BOWLER}} to {{BATSMAN}}, 1 run, dropped! An absolute sitter put down by Southee. Oh boy. They've already dropped Smith earlier. That hasn't quite gone well. Now another one. {{BATSMAN}} miscues the full toss to deep mid-wicket where Southee doesn't have to move. Dear me",RPS,Bumrah,Dhoni,Dhoni,,Bumrah,,5,,6,
140,2373690,GL 1st Inns,16.1,"Chawla to Raina, 1 run, fifty for Raina. 29th in IPL. Not one of his best. Quicker delivery on the stumps, clocked at 113kph, that's the pace of Bhatia. Raina is hurried into the flick and sends it along the ground to deep mid-wicket",Chawla to Raina,ONE,"{{BOWLER}} to {{BATSMAN}}, 1 run, fifty for {{BATSMAN}}. 29th in IPL. Not one of his best. Quicker delivery on the stumps, clocked at 113kph, that's the pace of Bhatia. {{BATSMAN}} is hurried into the flick and sends it along the ground to deep mid-wicket",GL,Chawla,Raina,Raina,,Chawla,,5,,6,
141,2373690,GL 1st Inns,16.3,"Chawla to Raina, 1 run, dropped! Would you believe it? I have lost count of the number of chances Raina has got today. Flighted delivery on the stumps, Raina kneels down and sweeps to deep backward square, went straight to Yusuf and he split it. He was on the move a bit and that put him off. He's been whisked away from that position by a stoic GG",Chawla to Raina,ONE,"{{BOWLER}} to {{BATSMAN}}, 1 run, dropped! Would you believe it? I have lost count of the number of chances {{BATSMAN}} has got today. Flighted delivery on the stumps, {{BATSMAN}} kneels down and sweeps to deep backward square, went straight to Yusuf and he split it. He was on the move a bit and that put him off. He's been whisked away from that position by a stoic GG",GL,Chawla,Raina,Raina,,Chawla,,5,,6,
143,2373690,GL 1st Inns,17.1,"Boult to Raina, 1 run, Raina backs away and Boult follows him with a yorker, squeezed to backward point",Boult to Raina,ONE,"{{BOWLER}} to {{BATSMAN}}, 1 run, {{BATSMAN}} backs away and {{BOWLER}} follows him with a yorker, squeezed to backward point",GL,Boult,Raina,Raina,,Boult,,5,,5,
146,2373690,GL 1st Inns,18.2,"Woakes to Raina, 1 run, Raina and Woakes collide. Short and slow outside off, Raina cuts it on the bounce to backward point. Both were ball watching and Raina dashed into the bowler, Woakes is down on the ground and Raina makes his crease. The GL skipper goes back to check on Woakes and the Englishman is fine",Woakes to Raina,ONE,"{{BOWLER}} to {{BATSMAN}}, 1 run, {{BATSMAN}} and {{BOWLER}} collide. Short and slow outside off, {{BATSMAN}} cuts it on the bounce to backward point. Both were ball watching and {{BATSMAN}} dashed into the bowler, {{BOWLER}} is down on the ground and {{BATSMAN}} makes his crease. The {{TEAM}} skipper goes back to check on {{BOWLER}} and the Englishman is fine",GL,Woakes,Raina,Raina,,Woakes,,5,,6,
171,2373690,KKR 1st Inns,10.0,"Shadab Jakati to Gambhir, 1 run, advances and compiles a well-deserved fifty with a ease to long-on",Shadab Jakati to Gambhir,ONE,"{{BOWLER}} to {{BATSMAN}}, 1 run, advances and compiles a well-deserved fifty with a ease to long-on",KKR,Shadab Jakati,Gambhir,Gambhir,,Shadab,Jakati,7,,6,6.0
196,2373690,KKR 1st Inns,7.0,"Dwayne Smith to Chris Lynn, 1 run, slower length ball outside off, Lynn drills it through cover and brings up a sparkling fifty",Dwayne Smith to Chris Lynn,ONE,"{{BOWLER}} to {{BATSMAN}}, 1 run, slower length ball outside off, {{BATSMAN}} drills it through cover and brings up a sparkling fifty",KKR,Dwayne Smith,Chris Lynn,Chris,Lynn,Dwayne,Smith,5,4.0,6,5.0
