Unnamed: 0,Match_id,Team,Over_num,Commentary,batsman,score,Commentary_new,Team_new,P2,P1,P1_FN,P1_LN,P2_FN,P2_LN,P1_FN_count,P1_LN_count,P2_FN_count,P2_LN_count
5,4281444,RCB 1st Inns,11.4,"Henriques to Kedar Jadhav, out Kedar Jadhav Run Out!! 1 run completed. Cutting has conjured a wicket out of nowhere. That's a sensational throw from the deep. My goodness. He's absolutely nailed the stump from long leg and Jadhav is out of here. This is a huge moment in the context of the match, especially as Jadhav was looking so good. Even this shot which he played was extraordinary. It was a length ball outside off, Jadhav sat on his back knee and scooped it over short fine leg. He was a little slow to decide on the second run, maybe a little hesitant and boy did Cutting make him pay! More than a couple of feet short, even with a dive. Kedar Jadhav run out (Cutting) 31(16) [4s-4 6s-1]",Henriques to Kedar Jadhav,OUT,"{{BOWLER}} to {{BATSMAN}}, out {{BATSMAN}} Run Out!! 1 run completed. Cutting has conjured a wicket out of nowhere. That's a sensational throw from the deep. My goodness. He's absolutely nailed the stump from long leg and {{BATSMAN}} is out of here. This is a huge moment in the context of the match, especially as {{BATSMAN}} was looking so good. Even this shot which he played was extraordinary. It was a length ball outside off, {{BATSMAN}} sat on his back knee and scooped it over short fine leg. He was a little slow to decide on the second run, maybe a little hesitant and boy did Cutting make him pay! More than a couple of feet short, even with a dive. {{BATSMAN}} run out (Cutting) 31(16) [4s-4 6s-1]",RCB,Henriques,Kedar Jadhav,Kedar,Jadhav,Henriques,,5,6.0,9,
7,4281444,RCB 1st Inns,12.5,"Rashid Khan to Head, out Caught by Yuvraj!! Rashid strikes back! That might have been the googly. Yeah, it seems so. Head went for another slog-sweep, but due to the variation, Rashid managed to generate some extra-bounce which took more of a thick top-edge and lobbed up towards long-on. It still came really close to clearing the boundary though. Yuvraj keeps his cool and takes it smartly. Head c Yuvraj b Rashid Khan 30(22) [4s-3]",Rashid Khan to Head,OUT,"{{BOWLER}} to {{BATSMAN}}, out Caught by Yuvraj!! {{BOWLER}} strikes back! That might have been the googly. Yeah, it seems so. {{BATSMAN}} went for another slog-sweep, but due to the variation, {{BOWLER}} managed to generate some extra-bounce which took more of a thick top-edge and lobbed up towards long-on. It still came really close to clearing the boundary though. Yuvraj keeps his cool and takes it smartly. {{BATSMAN}} c Yuvraj b {{BOWLER}} 30(22) [4s-3]",RCB,Rashid Khan,Head,Head,,Rashid,Khan,4,,6,4.0
8,4281444,RCB 1st Inns,13.4,"Bipul Sharma to Sachin Baby, out Caught by Henriques!! Straight up off a leading edge, taken! SRH taking control. There's no turn on the ball as Bipul fires it on leg-stump from round the wicket, Baby swings across the line and is undone by the sliding delivery. Good catch from Henriques too. He pedalled backwards from mid-wicket and made it much easier than it should have been. Sachin Baby c Henriques b Bipul Sharma 1(3)",Bipul Sharma to Sachin Baby,OUT,"{{BOWLER}} to {{BATSMAN}}, out Caught by Henriques!! Straight up off a leading edge, taken! SRH taking control. There's no turn on the ball as {{BOWLER}} fires it on leg-stump from round the wicket, {{BATSMAN}} swings across the line and is undone by the sliding delivery. Good catch from Henriques too. He pedalled backwards from mid-wicket and made it much easier than it should have been. {{BATSMAN}} c Henriques b {{BOWLER}} 1(3)",RCB,Bipul Sharma,Sachin Baby,Sachin,Baby,Bipul,Sharma,6,4.0,5,6.0
13,4281444,RCB 1st Inns,16.5,"Bhuvneshwar to Binny, out Caught by Yuvraj!! Gone this time. Yuvraj makes no mistake at backward point. What a top over this has been from Bhuvneshwar. It may now be a mountain too high for the RCB to climb. Binny backs away to slash a back of a length delivery over point. But this is a leg-cutter which bounces spongily and he slices it up to the fielder. Binny c Yuvraj b Bhuvneshwar 11(10) [6s-1]",Bhuvneshwar to Binny,OUT,"{{BOWLER}} to {{BATSMAN}}, out Caught by Yuvraj!! Gone this time. Yuvraj makes no mistake at backward point. What a top over this has been from {{BOWLER}}. It may now be a mountain too high for the {{TEAM}} to climb. {{BATSMAN}} backs away to slash a back of a length delivery over point. But this is a leg-cutter which bounces spongily and he slices it up to the fielder. {{BATSMAN}} c Yuvraj b {{BOWLER}} 11(10) [6s-1]",RCB,Bhuvneshwar,Binny,Binny,,Bhuvneshwar,,5,,11,
14,4281444,RCB 1st Inns,17.3,"Nehra to Watson, out Caught by Henriques!! That's the end of Watson, and of RCB. The little bit of reverse-swing which Nehra uses to curl the ball away from Watson does his undoing. Despite it being another full toss, Watson slices it straight up off the outside half of his bat. Simple catch at extra-cover. Watson c Henriques b Nehra 22(17) [4s-1 6s-1]",Nehra to Watson,OUT,"{{BOWLER}} to {{BATSMAN}}, out Caught by Henriques!! That's the end of {{BATSMAN}}, and of {{TEAM}}. The little bit of reverse-swing which {{BOWLER}} uses to curl the ball away from {{BATSMAN}} does his undoing. Despite it being another full toss, {{BATSMAN}} slices it straight up off the outside half of his bat. Simple catch at extra-cover. {{BATSMAN}} c Henriques b {{BOWLER}} 22(17) [4s-1 6s-1]",RCB,Nehra,Watson,Watson,,Nehra,,6,,5,
15,4281444,RCB 1st Inns,17.4,"Nehra to Aravind, out Bowled!! Terrific yorker from Nehra; a perfect way to seal wicket no. 100 in the IPL for the veteran pacer. The ball tails back in, zips through Aravind before his bat could come down and plants leg-stump into its grave. Nehra on a hat-trick. Aravind b Nehra 0(2)",Nehra to Aravind,OUT,"{{BOWLER}} to {{BATSMAN}}, out Bowled!! Terrific yorker from {{BOWLER}}; a perfect way to seal wicket no. 100 in the IPL for the veteran pacer. The ball tails back in, zips through {{BATSMAN}} before his bat could come down and plants leg-stump into its grave. {{BOWLER}} on a hat-trick. {{BATSMAN}} b {{BOWLER}} 0(2)",RCB,Nehra,Aravind,Aravind,,Nehra,,7,,5,
17,4281444,RCB 1st Inns,18.5,"Bhuvneshwar to Tymal Mills, out Caught by Warner!! Good lord, that's got air miles on it. Way up into the night sky, Warner settles under it at long-on and takes it. Bhuvneshwar had slowed the pace down on the delivery, causing Mills to go through with the hoick too early. Right off the toe-end of the bat. Tymal Mills c Warner b Bhuvneshwar 6(3) [6s-1]",Bhuvneshwar to Tymal Mills,OUT,"{{BOWLER}} to {{BATSMAN}}, out Caught by Warner!! Good lord, that's got air miles on it. Way up into the night sky, Warner settles under it at long-on and takes it. {{BOWLER}} had slowed the pace down on the delivery, causing {{BATSMAN}} to go through with the hoick too early. Right off the toe-end of the bat. {{BATSMAN}} c Warner b {{BOWLER}} 6(3) [6s-1]",RCB,Bhuvneshwar,Tymal Mills,Tymal,Mills,Bhuvneshwar,,5,5.0,11,
19,4281444,RCB 1st Inns,19.4,"Cutting to Aniket Choudhary, out Chahal Run Out!! Direct-hit and that's it! SRH with a comprehensive win in the IPL 10 opener. Another pull shot from Choudhary, this one's straight to mid-wicket. Chahal comes running down only to be sent back and he had given up. Jordan with the bull's eye. Chahal run out (Jordan) 3(7)",Cutting to Aniket Choudhary,OUT,"{{BOWLER}} to {{BATSMAN}}, out Chahal Run Out!! Direct-hit and that's it! SRH with a comprehensive win in the IPL 10 opener. Another pull shot from {{BATSMAN}}, this one's straight to mid-wicket. Chahal comes running down only to be sent back and he had given up. Jordan with the bull's eye. Chahal run out (Jordan) 3(7)",RCB,Cutting,Aniket Choudhary,Aniket,Choudhary,Cutting,,6,9.0,7,
27,4281444,RCB 1st Inns,5.4,"Rashid Khan to Mandeep, out Bowled!! He strikes! The customary celebration follows. One hand up and the finger pointing skywards. The most delighted man in the dugout was his fellow countryman - Mohammad Nabi. He too had his finger up in celebration. The quicker wrong 'un and Mandeep clearly did not pick it, went back for the cut and gets cramped for room, only manages a chop onto the stumps. Mandeep b Rashid Khan 24(16) [4s-5]",Rashid Khan to Mandeep,OUT,"{{BOWLER}} to {{BATSMAN}}, out Bowled!! He strikes! The customary celebration follows. One hand up and the finger pointing skywards. The most delighted man in the dugout was his fellow countryman - Mohammad Nabi. He too had his finger up in celebration. The quicker wrong 'un and {{BATSMAN}} clearly did not pick it, went back for the cut and gets cramped for room, only manages a chop onto the stumps. {{BATSMAN}} b {{BOWLER}} 24(16) [4s-5]",RCB,Rashid Khan,Mandeep,Mandeep,,Rashid,Khan,7,,6,4.0
29,4281444,RCB 1st Inns,6.3,"Deepak Hooda to Gayle, out Caught by Warner!! It was an experiment from Warner and it has paid off. Completes the catch, turns towards the crowd and does a fist pump. RCB have lost two in quick succession. Both set batsmen gone. Slows it up as Gayle gives the charge, he goes through with the loft even though he isn't to pitch of the ball, miscues it towards long-off and Warner ain't dropping those. Gayle c Warner b Deepak Hooda 32(21) [4s-2 6s-3]",Deepak Hooda to Gayle,OUT,"{{BOWLER}} to {{BATSMAN}}, out Caught by Warner!! It was an experiment from Warner and it has paid off. Completes the catch, turns towards the crowd and does a fist pump. {{TEAM}} have lost two in quick succession. Both set batsmen gone. Slows it up as {{BATSMAN}} gives the charge, he goes through with the loft even though he isn't to pitch of the ball, miscues it towards long-off and Warner ain't dropping those. {{BATSMAN}} c Warner b {{BOWLER}} 32(21) [4s-2 6s-3]",RCB,Deepak Hooda,Gayle,Gayle,,Deepak,Hooda,5,,6,5.0
