Unnamed: 0,Match_id,Team,Over_num,Commentary,batsman,score,Commentary_new,Team_new,P2,P1,P1_FN,P1_LN,P2_FN,P2_LN,P1_FN_count,P1_LN_count,P2_FN_count,P2_LN_count
9,4281444,RCB 1st Inns,15.0,"Rashid Khan to Watson, SIX, Rashid finishes with a long hop. To be fair, it's not abysmally short, but Watson is so good on the back foot. Rocks back quickly and hammers the pull over long-on",Rashid Khan to Watson,SIX,"{{BOWLER}} to {{BATSMAN}}, SIX, {{BOWLER}} finishes with a long hop. To be fair, it's not abysmally short, but {{BATSMAN}} is so good on the back foot. Rocks back quickly and hammers the pull over long-on",RCB,Rashid Khan,Watson,Watson,,Rashid,Khan,6,,6,4.0
10,4281444,RCB 1st Inns,15.2,"Cutting to Binny, SIX, slower ball again but this time Binny hacks it over deep mid-wicket. It was slightly closer to off-stump and was given a fair tonk",Cutting to Binny,SIX,"{{BOWLER}} to {{BATSMAN}}, SIX, slower ball again but this time {{BATSMAN}} hacks it over deep mid-wicket. It was slightly closer to off-stump and was given a fair tonk",RCB,Cutting,Binny,Binny,,Cutting,,5,,7,
16,4281444,RCB 1st Inns,18.4,"Bhuvneshwar to Tymal Mills, SIX, full and wide, Mills has a proper dash at it and he's flayed it away over the point boundary. Magnificent hit. Bhuvneshwar won't enjoy that",Bhuvneshwar to Tymal Mills,SIX,"{{BOWLER}} to {{BATSMAN}}, SIX, full and wide, {{BATSMAN}} has a proper dash at it and he's flayed it away over the point boundary. Magnificent hit. {{BOWLER}} won't enjoy that",RCB,Bhuvneshwar,Tymal Mills,Tymal,Mills,Bhuvneshwar,,5,5.0,11,
18,4281444,RCB 1st Inns,19.3,"Cutting to Aniket Choudhary, SIX, first ball Choudhary faces in the IPL, he smashes it over long leg. A short ball from Cutting, Choudhary swings into an instinctive pull and gets enough on it",Cutting to Aniket Choudhary,SIX,"{{BOWLER}} to {{BATSMAN}}, SIX, first ball {{BATSMAN}} faces in the IPL, he smashes it over long leg. A short ball from {{BOWLER}}, {{BATSMAN}} swings into an instinctive pull and gets enough on it",RCB,Cutting,Aniket Choudhary,Aniket,Choudhary,Cutting,,6,9.0,7,
22,4281444,RCB 1st Inns,3.0,"Nehra to Gayle, SIX, that ball hung in the night sky for eternity. Never looked like coming down. For what it's worth Gayle gets the maximum result. Length delivery right in the swinging zone and Gayle did not hold back, went full-monty and heaved it over deep mid-wicket. Six number one for Gayle in IPL 10",Nehra to Gayle,SIX,"{{BOWLER}} to {{BATSMAN}}, SIX, that ball hung in the night sky for eternity. Never looked like coming down. For what it's worth {{BATSMAN}} gets the maximum result. Length delivery right in the swinging zone and {{BATSMAN}} did not hold back, went full-monty and heaved it over deep mid-wicket. Six number one for {{BATSMAN}} in IPL 10",RCB,Nehra,Gayle,Gayle,,Nehra,,5,,5,
23,4281444,RCB 1st Inns,3.2,"Bhuvneshwar to Gayle, SIX, Gayle is in the mood. Mind you, he's not been in the best of forms, but IPL is his cup of tea. Bhuvneshwar dishes a full length delivery and hopes to get away with it, Gayle doesn't allow him to, carves it over long-on for his second maximum",Bhuvneshwar to Gayle,SIX,"{{BOWLER}} to {{BATSMAN}}, SIX, {{BATSMAN}} is in the mood. Mind you, he's not been in the best of forms, but IPL is his cup of tea. {{BOWLER}} dishes a full length delivery and hopes to get away with it, {{BATSMAN}} doesn't allow him to, carves it over long-on for his second maximum",RCB,Bhuvneshwar,Gayle,Gayle,,Bhuvneshwar,,5,,11,
28,4281444,RCB 1st Inns,6.2,"Deepak Hooda to Gayle, SIX, a gift from Hooda and Gayle thumps it over the rope. A full toss outside off, Gayle takes a step out and slots it straight back over the bowler's head. Went miles back into the crowd",Deepak Hooda to Gayle,SIX,"{{BOWLER}} to {{BATSMAN}}, SIX, a gift from {{BOWLER}} and {{BATSMAN}} thumps it over the rope. A full toss outside off, {{BATSMAN}} takes a step out and slots it straight back over the bowler's head. Went miles back into the crowd",RCB,Deepak Hooda,Gayle,Gayle,,Deepak,Hooda,5,,6,5.0
32,4281444,RCB 1st Inns,8.5,"Cutting to Kedar Jadhav, SIX, that looked like a half-hearted shot from Jadhav and it has travelled the distance. Picked the back of a length delivery and pulled it to the vacant deep mid-wicket region, just cleared the rope",Cutting to Kedar Jadhav,SIX,"{{BOWLER}} to {{BATSMAN}}, SIX, that looked like a half-hearted shot from {{BATSMAN}} and it has travelled the distance. Picked the back of a length delivery and pulled it to the vacant deep mid-wicket region, just cleared the rope",RCB,Cutting,Kedar Jadhav,Kedar,Jadhav,Cutting,,5,6.0,7,
36,4281444,SRH 1st Inns,1.3,"Aniket Choudhary to Warner, SIX, .. and Warner makes the most of the free-hit. Another pretty poor ball from Choudhary, short and just outside off, Warner rocks back and pulls it high and over mid-wicket, went sailing into the stands for the first six of IPL 10",Aniket Choudhary to Warner,SIX,"{{BOWLER}} to {{BATSMAN}}, SIX, .. and {{BATSMAN}} makes the most of the free-hit. Another pretty poor ball from {{BOWLER}}, short and just outside off, {{BATSMAN}} rocks back and pulls it high and over mid-wicket, went sailing into the stands for the first six of IPL 10",SRH,Aniket Choudhary,Warner,Warner,,Aniket,Choudhary,6,,6,9.0
42,4281444,SRH 1st Inns,12.2,"Aniket Choudhary to Yuvraj, SIX, whoa. This is getting back in the 2007 zone. Choudhary without a clue as to where to bowl goes full and wide. The mind-reader gets the front leg out and unleashes a full bat swing showing the maker's name in tonking it right on the extra cover ropes",Aniket Choudhary to Yuvraj,SIX,"{{BOWLER}} to {{BATSMAN}}, SIX, whoa. This is getting back in the 2007 zone. {{BOWLER}} without a clue as to where to bowl goes full and wide. The mind-reader gets the front leg out and unleashes a full bat swing showing the maker's name in tonking it right on the extra cover ropes",SRH,Aniket Choudhary,Yuvraj,Yuvraj,,Aniket,Choudhary,6,,6,9.0
47,4281444,SRH 1st Inns,14.3,"Aravind to Yuvraj, SIX, into the first tier. And a standing admire from Yuvraj. Aravind serves a pie with the short sitter and heaved away. So very typical. Equally friendly bowling here as well",Aravind to Yuvraj,SIX,"{{BOWLER}} to {{BATSMAN}}, SIX, into the first tier. And a standing admire from {{BATSMAN}}. {{BOWLER}} serves a pie with the short sitter and heaved away. So very typical. Equally friendly bowling here as well",SRH,Aravind,Yuvraj,Yuvraj,,Aravind,,6,,7,
48,4281444,SRH 1st Inns,14.5,"Aravind to Henriques, SIX, now Henriques joins the act. Wants to ive his partner a run for his money. A run for some crowd catchers. Keeps banging it in short with the pitch sucking away all the momentum. Another mow across to give the crowd some work. Brings up his fifty. In some style",Aravind to Henriques,SIX,"{{BOWLER}} to {{BATSMAN}}, SIX, now {{BATSMAN}} joins the act. Wants to ive his partner a run for his money. A run for some crowd catchers. Keeps banging it in short with the pitch sucking away all the momentum. Another mow across to give the crowd some work. Brings up his fifty. In some style",SRH,Aravind,Henriques,Henriques,,Aravind,,9,,7,
52,4281444,SRH 1st Inns,17.1,"Aniket Choudhary to Deepak Hooda, SIX, the march to the double ton gets another gear. And some help from Chahal in tipping it over the fence. Hooda opens up and uses his entire height to good effect in his tall pull. Mid-wicket takes another one in its kitty",Aniket Choudhary to Deepak Hooda,SIX,"{{BOWLER}} to {{BATSMAN}}, SIX, the march to the double ton gets another gear. And some help from Chahal in tipping it over the fence. {{BATSMAN}} opens up and uses his entire height to good effect in his tall pull. Mid-wicket takes another one in its kitty",SRH,Aniket Choudhary,Deepak Hooda,Deepak,Hooda,Aniket,Choudhary,6,5.0,6,9.0
55,4281444,SRH 1st Inns,18.3,"Tymal Mills to Yuvraj, SIX, the murder continues. Mass murder. Another spirit buries itself inside this pitch. Overcompensates going short, going quick but the response is quicker. Is brutal too. Back to his high backlifted pulls. Gravity too cannot pull it down",Tymal Mills to Yuvraj,SIX,"{{BOWLER}} to {{BATSMAN}}, SIX, the murder continues. Mass murder. Another spirit buries itself inside this pitch. Overcompensates going short, going quick but the response is quicker. Is brutal too. Back to his high backlifted pulls. Gravity too cannot pull it down",SRH,Tymal Mills,Yuvraj,Yuvraj,,Tymal,Mills,6,,5,5.0
57,4281444,SRH 1st Inns,19.3,"Watson to Cutting, SIX, the yorkers too cannot stop the bleeding. Cutting rocks way inside, crouches, gets underneath the supposed yorker and carries on from the finals a year ago in tonking the drive",Watson to Cutting,SIX,"{{BOWLER}} to {{BATSMAN}}, SIX, the yorkers too cannot stop the bleeding. {{BATSMAN}} rocks way inside, crouches, gets underneath the supposed yorker and carries on from the finals a year ago in tonking the drive",SRH,Watson,Cutting,Cutting,,Watson,,7,,6,
59,4281444,SRH 1st Inns,20.0,"Watson to Cutting, SIX, a dramatic photo finish. Watson tries another short one but this time Cutting ain't surprised. Stands up, uses his entire height to good effect and smokes it away. Admiring it as he does so. As flat as the bat motion could get",Watson to Cutting,SIX,"{{BOWLER}} to {{BATSMAN}}, SIX, a dramatic photo finish. {{BOWLER}} tries another short one but this time {{BATSMAN}} ain't surprised. Stands up, uses his entire height to good effect and smokes it away. Admiring it as he does so. As flat as the bat motion could get",SRH,Watson,Cutting,Cutting,,Watson,,7,,6,
