Unnamed: 0,Match_id,Team,Over_num,Commentary,batsman,score,Commentary_new,Team_new,P2,P1,P1_FN,P1_LN,P2_FN,P2_LN,P1_FN_count,P1_LN_count,P2_FN_count,P2_LN_count
1606,7614896,RPS 1st Inns,6.2,"Harbhajan to Tripathi, 3 runs, Tripathi uses the extra bounce outside off and late-cuts it wide of the keeper. Mitch McClenaghan, runs, slides and flicks the ball back into play. Saved a run for his team there. 50-run stand between the duo as well",Harbhajan to Tripathi,THREE,"{{BOWLER}} to {{BATSMAN}}, 3 runs, {{BATSMAN}} uses the extra bounce outside off and late-cuts it wide of the keeper. Mitch McClenaghan, runs, slides and flicks the ball back into play. Saved a run for his team there. 50-run stand between the duo as well",RPS,Harbhajan,Tripathi,Tripathi,,Harbhajan,,8,,9,
2469,9316064,MI 1st Inns,18.2,"Rabada to Hardik Pandya, 3 runs, dropped! First, Iyer spills one and then takes ages to release the ball. Allowing the duo to scamper back for the third. Short of length and Hardik is hurried on the flat-batted pull, spliced towards mid-off. Iyer rans back and tries to take it over his left shoulder, got both hands but the ball pops out",Rabada to Hardik Pandya,THREE,"{{BOWLER}} to {{BATSMAN}}, 3 runs, dropped! First, Iyer spills one and then takes ages to release the ball. Allowing the duo to scamper back for the third. Short of length and {{BATSMAN}} is hurried on the flat-batted pull, spliced towards mid-off. Iyer rans back and tries to take it over his left shoulder, got both hands but the ball pops out",MI,Rabada,Hardik Pandya,Hardik,Pandya,Rabada,,6,6.0,6,
2812,4550802,MI 1st Inns,11.0,"Ishant to Rohit, 3 runs, Comedy. Chaos. Everything happening out there. Rohit tucks it away towards mid-wicket and sets off for a second run. The fielder quickly gets to the ball, collects it and fires a throw at the non striker's end. There was an opportunity for a run-out had Ishant taken it cleanly. He fumbles and Rana gets back in. They also sneak in an extra run as there was no proper backing up",Ishant to Rohit,THREE,"{{BOWLER}} to {{BATSMAN}}, 3 runs, Comedy. Chaos. Everything happening out there. {{BATSMAN}} tucks it away towards mid-wicket and sets off for a second run. The fielder quickly gets to the ball, collects it and fires a throw at the non striker's end. There was an opportunity for a run-out had {{BOWLER}} taken it cleanly. He fumbles and Rana gets back in. They also sneak in an extra run as there was no proper backing up",MI,Ishant,Rohit,Rohit,,Ishant,,5,,6,
5616,9414123,RR 1st Inns,15.5,"Ashwin to Buttler, 3 runs, in the air and Buttler gets away. Akshdeep Nath puts down a toughie. Buttler loses his shape and sends a leading edge into the night sky towards long-off. Nath sprinted forward, guess he picked it late as he saw Tiwary approaching from extra cover. Decided to go for it in the end, got both hands but shells it. Ashwin won't be happy",Ashwin to Buttler,THREE,"{{BOWLER}} to {{BATSMAN}}, 3 runs, in the air and {{BATSMAN}} gets away. Akshdeep Nath puts down a toughie. {{BATSMAN}} loses his shape and sends a leading edge into the night sky towards long-off. Nath sprinted forward, guess he picked it late as he saw Tiwary approaching from extra cover. Decided to go for it in the end, got both hands but shells it. {{BOWLER}} won't be happy",RR,Ashwin,Buttler,Buttler,,Ashwin,,7,,6,
6049,9236293,MI 1st Inns,2.4,"Jofra Archer to Lewis, 3 runs, slogged high. Woah, it's checking the stratosphere. A cool ten seconds for it to come down, where Binny's done all the hard work of running back from mid-on .. to misjudge. Goes reverse cupped. There's never a good time to wait for anything, certainly not these swirlers",Jofra Archer to Lewis,THREE,"{{BOWLER}} to {{BATSMAN}}, 3 runs, slogged high. Woah, it's checking the stratosphere. A cool ten seconds for it to come down, where Binny's done all the hard work of running back from mid-on .. to misjudge. Goes reverse cupped. There's never a good time to wait for anything, certainly not these swirlers",MI,Jofra Archer,Lewis,Lewis,,Jofra,Archer,5,,5,6.0
6456,9377212,SRH 1st Inns,12.1,"Searles to Dhawan, 3 runs, in the airr and Narine puts it down. Never looked like taking it any point, to be honest. So much so that he didn't even get a hand to it. A fat leading edge as Dhawan closes the bat face early on the whip, goes very high into the night sky and took an eternity to descend. The ball was swirling and the West Indian grasses it. Collects the ball and fires a direct-hit at the striker's end, it riochets away and they pinch three runs. They went upstairs for the run-out check but Dhawan was well in",Searles to Dhawan,THREE,"{{BOWLER}} to {{BATSMAN}}, 3 runs, in the airr and Narine puts it down. Never looked like taking it any point, to be honest. So much so that he didn't even get a hand to it. A fat leading edge as {{BATSMAN}} closes the bat face early on the whip, goes very high into the night sky and took an eternity to descend. The ball was swirling and the West Indian grasses it. Collects the ball and fires a direct-hit at the striker's end, it riochets away and they pinch three runs. They went upstairs for the run-out check but {{BATSMAN}} was well in",SRH,Searles,Dhawan,Dhawan,,Searles,,6,,7,
6543,8897809,MI 1st Inns,6.4,"Mishra to Pollard, 3 runs, edged and put down by Shaw. Mishra is not happy with the effort. Slips in the leggie and lured Pollard once again, who outside-edged it to first slip. Shaw leapt, it was sailing over his head. Gets a finger-tip to it and it runs away towards third man. What a miss for Delhi!",Mishra to Pollard,THREE,"{{BOWLER}} to {{BATSMAN}}, 3 runs, edged and put down by Shaw. {{BOWLER}} is not happy with the effort. Slips in the leggie and lured {{BATSMAN}} once again, who outside-edged it to first slip. Shaw leapt, it was sailing over his head. Gets a finger-tip to it and it runs away towards third man. What a miss for Delhi!",MI,Mishra,Pollard,Pollard,,Mishra,,7,,6,
6646,8593147,SRH 1st Inns,2.4,"Chahar to Williamson, 3 runs, MS tries a funky flick-the-ball-to-the-stumps and it backfires, Goswami was a goner there! Flicked away to the left of deep square, Bhajji picks it late after a marathon-like sprint and what was Williamson thinking there? No three there tbh, but they decided to take on Bhajji's arm. It came flat and high which tempted MSD to try one of his tried-and-tested tacticts to run Goswami out. Unfortunately, missed by a big margin. Goswami wasn't even in the frame",Chahar to Williamson,THREE,"{{BOWLER}} to {{BATSMAN}}, 3 runs, MS tries a funky flick-the-ball-to-the-stumps and it backfires, Goswami was a goner there! Flicked away to the left of deep square, Bhajji picks it late after a marathon-like sprint and what was {{BATSMAN}} thinking there? No three there tbh, but they decided to take on Bhajji's arm. It came flat and high which tempted MSD to try one of his tried-and-tested tacticts to run Goswami out. Unfortunately, missed by a big margin. Goswami wasn't even in the frame",SRH,Chahar,Williamson,Williamson,,Chahar,,10,,6,
8603,8556956,RCB 1st Inns,16.1,"Bumrah to de Villiers, 3 runs, lofts the low full toss over the bowler's head and a misfield from Pollard allows the duo to take a triple. Fifty for de Villiers. It has been labourious by his standards but now is the time, when he can cash in",Bumrah to de Villiers,THREE,"{{BOWLER}} to {{BATSMAN}}, 3 runs, lofts the low full toss over the bowler's head and a misfield from Pollard allows the duo to take a triple. Fifty for {{BATSMAN}}. It has been labourious by his standards but now is the time, when he can cash in",RCB,Bumrah,de Villiers,de,Villiers,Bumrah,,2,8.0,6,
8993,5568908,SRH 1st Inns,11.4,"Narine to Bairstow, 3 runs, and another drop! Slog sweep attempted, and was a fot top-edge for the man at deep backward to drop it. He never even got close to it. Such a poor effort from Gurney. KKR are on a free fall",Narine to Bairstow,THREE,"{{BOWLER}} to {{BATSMAN}}, 3 runs, and another drop! Slog sweep attempted, and was a fot top-edge for the man at deep backward to drop it. He never even got close to it. Such a poor effort from Gurney. KKR are on a free fall",SRH,Narine,Bairstow,Bairstow,,Narine,,8,,6,
10640,2412742,CSK 1st Inns,16.0,"Nortje to Dhoni, 3 runs, uppish guide to this short delivery past backward point, they race back for three",Nortje to Dhoni,THREE,"{{BOWLER}} to {{BATSMAN}}, 3 runs, uppish guide to this short delivery past backward point, they race back for three",CSK,Nortje,Dhoni,Dhoni,,Nortje,,5,,6,
10744,3434824,MI 1st Inns,17.0,"Zampa to Pollard, 3 runs, in the air.. another chance and Chahal this time makes a meal of it. What are RCB doing? Very poor.. Pollard looks to go for another biggie, gets a thick edge which goes up towards backward point. Chahal circles around, never looked comfortable and worse is.. doesn't even get a hand on it. Phew!",Zampa to Pollard,THREE,"{{BOWLER}} to {{BATSMAN}}, 3 runs, in the air.. another chance and Chahal this time makes a meal of it. What are RCB doing? Very poor.. {{BATSMAN}} looks to go for another biggie, gets a thick edge which goes up towards backward point. Chahal circles around, never looked comfortable and worse is.. doesn't even get a hand on it. Phew!",MI,Zampa,Pollard,Pollard,,Zampa,,7,,5,
11020,8969749,RCB 1st Inns,18.2,"Unadkat to Kohli, 3 runs, 129kph, Unadkat probably saw the batter step down and shortened his length. Kohli checks his lofted drive and the ball falls short of in-running-and-diving Gopal at long-off. Meanwhile, Kohli runs three by the time Gopal recovers and releases the ball. Just incredible stuff...",Unadkat to Kohli,THREE,"{{BOWLER}} to {{BATSMAN}}, 3 runs, 129kph, {{BOWLER}} probably saw the batter step down and shortened his length. {{BATSMAN}} checks his lofted drive and the ball falls short of in-running-and-diving Gopal at long-off. Meanwhile, {{BATSMAN}} runs three by the time Gopal recovers and releases the ball. Just incredible stuff...",RCB,Unadkat,Kohli,Kohli,,Unadkat,,5,,7,
