Unnamed: 0,Match_id,Team,Over_num,Commentary,batsman,score,Commentary_new,Team_new,P2,P1,P1_FN,P1_LN,P2_FN,P2_LN,P1_FN_count,P1_LN_count,P2_FN_count,P2_LN_count
113,7898444,RPS 1st Inns,14.3,"Southee to Smith, 2 runs, fifty for Smith. This guy, huh, unbelievable. He comes off a 499-run series in Tests and now belts a half-century in his first IPL X innings. Clips a short of length off-cutter from outside off and rushes back for two",Southee to Smith,TWO,"{{BOWLER}} to {{BATSMAN}}, 2 runs, fifty for {{BATSMAN}}. This guy, huh, unbelievable. He comes off a 499-run series in Tests and now belts a half-century in his first IPL X innings. Clips a short of length off-cutter from outside off and rushes back for two",RPS,Southee,Smith,Smith,,Southee,,5,,7,
137,2373690,GL 1st Inns,13.3,"Chawla to Raina, 2 runs, in no man's land. The googly and Raina takes it on without reading, he charges down and goes across the line, the leading edge balloons up and drops in front of the incoming long-off fielder",Chawla to Raina,TWO,"{{BOWLER}} to {{BATSMAN}}, 2 runs, in no man's land. The googly and {{BATSMAN}} takes it on without reading, he charges down and goes across the line, the leading edge balloons up and drops in front of the incoming long-off fielder",GL,Chawla,Raina,Raina,,Chawla,,5,,6,
139,2373690,GL 1st Inns,15.4,"Kuldeep Yadav to Raina, 2 runs, comedy of errors. First Raina gets away with yet another leading edge, goes on the bounce to long-on. He was never wanted the second and Karthik was almost near the bowler's end before Raina decided to go, Karthik makes it in and Kuldeep for some unknown reason doesn't throw it to Uthappa and Raina also survives. He's living a charmed life",Kuldeep Yadav to Raina,TWO,"{{BOWLER}} to {{BATSMAN}}, 2 runs, comedy of errors. First {{BATSMAN}} gets away with yet another leading edge, goes on the bounce to long-on. He was never wanted the second and Karthik was almost near the bowler's end before {{BATSMAN}} decided to go, Karthik makes it in and {{BOWLER}} for some unknown reason doesn't throw it to Uthappa and {{BATSMAN}} also survives. He's living a charmed life",GL,Kuldeep Yadav,Raina,Raina,,Kuldeep,Yadav,5,,7,5.0
161,2373690,GL 1st Inns,5.5,"Woakes to Raina, 2 runs, that will go down as a chance, but Kuldeep did very well to get to the ball, got both hands and lost control as he fell down. Would have been a stunner had he held on. This was short and on the stumps, Raina was making room for the pull, gets slightly cramped on the shot, hits it high and over mid-on. Kuldeep ran a long way back, stretched as he got both hands to the ball - but can't complete the finishing act",Woakes to Raina,TWO,"{{BOWLER}} to {{BATSMAN}}, 2 runs, that will go down as a chance, but Kuldeep did very well to get to the ball, got both hands and lost control as he fell down. Would have been a stunner had he held on. This was short and on the stumps, {{BATSMAN}} was making room for the pull, gets slightly cramped on the shot, hits it high and over mid-on. Kuldeep ran a long way back, stretched as he got both hands to the ball - but can't complete the finishing act",GL,Woakes,Raina,Raina,,Woakes,,5,,6,
197,2373690,KKR 1st Inns,7.4,"Shadab Jakati to Gambhir, 2 runs, short ball on middle, Gambhir jumps on the back foot and lifts the pull over mid-wicket. 4th fastest team 100 in the history of IPL, gee!",Shadab Jakati to Gambhir,TWO,"{{BOWLER}} to {{BATSMAN}}, 2 runs, short ball on middle, {{BATSMAN}} jumps on the back foot and lifts the pull over mid-wicket. 4th fastest team 100 in the history of IPL, gee!",KKR,Shadab Jakati,Gambhir,Gambhir,,Shadab,Jakati,7,,6,6.0
285,7088566,RCB 1st Inns,13.4,"Brathwaite to Kedar Jadhav, 2 runs, fifty for Kedar, this has been a superb innings, short and just outside off, he backed away and cut it to the left of point. Billings put in the dive, made the stop and fired in a throw at the striker's end, concedes another run",Brathwaite to Kedar Jadhav,TWO,"{{BOWLER}} to {{BATSMAN}}, 2 runs, fifty for {{BATSMAN}}, this has been a superb innings, short and just outside off, he backed away and cut it to the left of point. Billings put in the dive, made the stop and fired in a throw at the striker's end, concedes another run",RCB,Brathwaite,Kedar Jadhav,Kedar,Jadhav,Brathwaite,,5,6.0,10,
404,9873957,MI 1st Inns,19.4,"Boult to Hardik Pandya, 2 runs, this is very, very ordinary from KKR in the field. The substitute Rishi Dhawan is the culprit this time. He drops a skier. Another brilliant short ball, rushes Hardik on the pull and takes a thick top-edge to deep square leg. Dhawan looks nervous under the ball, slips a bit and then has to dive to his left after the misjudgement. Makes a hash of it",Boult to Hardik Pandya,TWO,"{{BOWLER}} to {{BATSMAN}}, 2 runs, this is very, very ordinary from KKR in the field. The substitute Rishi Dhawan is the culprit this time. He drops a skier. Another brilliant short ball, rushes {{BATSMAN}} on the pull and takes a thick top-edge to deep square leg. Dhawan looks nervous under the ball, slips a bit and then has to dive to his left after the misjudgement. Makes a hash of it",MI,Boult,Hardik Pandya,Hardik,Pandya,Boult,,6,6.0,5,
410,9873957,MI 1st Inns,6.1,"Narine to Buttler, 2 runs, the new opening combo for MI has registered a 50-run stand in only their second game together. Buttler works it away with the spin wide of long-on and the second was on",Narine to Buttler,TWO,"{{BOWLER}} to {{BATSMAN}}, 2 runs, the new opening combo for {{TEAM}} has registered a 50-run stand in only their second game together. {{BATSMAN}} works it away with the spin wide of long-on and the second was on",MI,Narine,Buttler,Buttler,,Narine,,7,,6,
719,8517839,RPS 1st Inns,15.3,"Basil Thampi to Ankit Sharma, 2 runs, back of a length slower ball on middle and leg, Ankit makes room and chops it into the pitch. He's ambling across for a single as Thampi appeared to be lazy in getting to the ball, but that's only a smokescreen. Thampi quickly pounces, turns and throws and would have caught Ankit short had he hit the stumps direct. Instead, concedes an extra run",Basil Thampi to Ankit Sharma,TWO,"{{BOWLER}} to {{BATSMAN}}, 2 runs, back of a length slower ball on middle and leg, {{BATSMAN}} makes room and chops it into the pitch. He's ambling across for a single as {{BOWLER}} appeared to be lazy in getting to the ball, but that's only a smokescreen. {{BOWLER}} quickly pounces, turns and throws and would have caught {{BATSMAN}} short had he hit the stumps direct. Instead, concedes an extra run",RPS,Basil Thampi,Ankit Sharma,Ankit,Sharma,Basil,Thampi,5,6.0,5,6.0
729,8517839,RPS 1st Inns,20.0,"Andrew Tye to Rahul Chahar, 2 runs, that could have, and should have, been four in the over for Tye. Another knuckle ball, Chahar is early into the slog and miscues it to Jadeja of all people at deep mid-wicket. He puts down a simple enough chance",Andrew Tye to Rahul Chahar,TWO,"{{BOWLER}} to {{BATSMAN}}, 2 runs, that could have, and should have, been four in the over for {{BOWLER}}. Another knuckle ball, {{BATSMAN}} is early into the slog and miscues it to Jadeja of all people at deep mid-wicket. He puts down a simple enough chance",RPS,Andrew Tye,Rahul Chahar,Rahul,Chahar,Andrew,Tye,5,6.0,6,3.0
840,8351592,KXIP 1st Inns,14.1,"Zaheer to Axar, 2 runs, Zaheer only had to gather that and Mohit was gone. But the throw landed very close to him making it difficult. Knuckle ball outside off, Patel punches it through backward point and calls his partner back for two despite the fielder swooping in quickly",Zaheer to Axar,TWO,"{{BOWLER}} to {{BATSMAN}}, 2 runs, {{BOWLER}} only had to gather that and Mohit was gone. But the throw landed very close to him making it difficult. Knuckle ball outside off, Patel punches it through backward point and calls his partner back for two despite the fielder swooping in quickly",KXIP,Zaheer,Axar,Axar,,Zaheer,,4,,6,
992,2969824,DC 1st Inns,4.4,"Kuldeep Yadav to Samson, 2 runs, to long on, 50-run stand in the fifth over. A gentle nudge into the leg-side, followed by a quick double",Kuldeep Yadav to Samson,TWO,"{{BOWLER}} to {{BATSMAN}}, 2 runs, to long on, 50-run stand in the fifth over. A gentle nudge into the leg-side, followed by a quick double",DC,Kuldeep Yadav,Samson,Samson,,Kuldeep,Yadav,6,,7,5.0
1035,9296666,KXIP 1st Inns,14.0,"Henriques to Vohra, 2 runs, more than a dropped catch, that's two runs saved. A fine stretch from Nabi at short third man to get fingertips to the ball. Vohra wanted to ramp this back of length delivery above him, and was so nearly successful",Henriques to Vohra,TWO,"{{BOWLER}} to {{BATSMAN}}, 2 runs, more than a dropped catch, that's two runs saved. A fine stretch from Nabi at short third man to get fingertips to the ball. {{BATSMAN}} wanted to ramp this back of length delivery above him, and was so nearly successful",KXIP,Henriques,Vohra,Vohra,,Henriques,,5,,9,
1059,9296666,SRH 1st Inns,10.4,"Cariappa to Warner, 2 runs, a calm looking pat through mid-wicket. And pulls his partner back for the second. Makes the dive as well as Maxwell charges in from the mid-wicket fence and misses with the direct hit. Had he hit, Ojha would've been gone",Cariappa to Warner,TWO,"{{BOWLER}} to {{BATSMAN}}, 2 runs, a calm looking pat through mid-wicket. And pulls his partner back for the second. Makes the dive as well as Maxwell charges in from the mid-wicket fence and misses with the direct hit. Had he hit, Ojha would've been gone",SRH,Cariappa,Warner,Warner,,Cariappa,,6,,8,
1089,5231444,GL 1st Inns,18.0,"Head to Andrew Tye, 2 runs, dropped at long-on. Miscues it high and over but it's been dropped there. Fairly simple chance after Kohli runs across and gets the ball on his stuck out palm as well. Only for it to pop out",Head to Andrew Tye,TWO,"{{BOWLER}} to {{BATSMAN}}, 2 runs, dropped at long-on. Miscues it high and over but it's been dropped there. Fairly simple chance after Kohli runs across and gets the ball on his stuck out palm as well. Only for it to pop out",GL,Head,Andrew Tye,Andrew,Tye,Head,,6,3.0,4,
1119,5231444,RCB 1st Inns,14.1,"Shivil to Kohli, 2 runs, 28th IPL fifty for Kohli. Whips it wide of long-on and reaches the landmark",Shivil to Kohli,TWO,"{{BOWLER}} to {{BATSMAN}}, 2 runs, 28th IPL fifty for {{BATSMAN}}. Whips it wide of long-on and reaches the landmark",RCB,Shivil,Kohli,Kohli,,Shivil,,5,,6,
